,B,Bague_depaulement,C,C0,C2,D,D1,D3,Da_max,Da_min,Db_min,EF,Mass,Pu,Vmax,Vref,Y,b,b1,d,d1,da_max,da_min,db_min,e,h,kr,name,r12_min,r34_min,ra_max,rb_max,s_max
0,0.12,0,1570000.0,2500000.0,0.0,0.44,0.366,0.0,0.423,0.0,0.0,0.292,84.0,232000.0,178.0235837034216,157.07963267948966,0.0,0.0,0.0,0.24,0.0,0.28600000000000003,0.257,0.296,0.3,0.0,0.22,313221,0.004,0.0,0.003,0.0,0.011300000000000001
1,0.07200000000000001,0,765000.0,1500000.0,0.0,0.44,0.393,0.0,0.427,0.0,0.0,0.352,35.0,140000.0,157.07963267948966,136.1356816555577,0.4,0.0,0.0,0.32,0.364,0.0,0.333,0.368,0.3,0.0,0.0,313450_B,0.003,0.0,0.0025,0.0,0.002
2,0.07200000000000001,0,765000.0,1500000.0,0.0,0.44,0.393,0.0,0.427,0.0,0.0,0.352,33.5,140000.0,146.60765716752366,146.60765716752366,0.0,0.0,0.0,0.32,0.0,0.34700000000000003,0.333,0.356,0.2,0.0,0.1,313451_B,0.003,0.0,0.0025,0.0,0.0054
3,0.07200000000000001,0,765000.0,1500000.0,0.0,0.44,0.393,0.0,0.427,0.0,0.0,0.352,34.5,140000.0,146.60765716752366,146.60765716752366,0.6,0.0,0.0,0.32,0.362,0.0,0.333,0.366,0.2,0.0,0.1,314756,0.003,0.0,0.0025,0.0,0.0
4,0.062,0,704000.0,1560000.0,0.0,0.88,0.0,0.0,0.864,0.84,0.0,0.834,75.0,91500.0,198.96753472735358,146.60765716752366,0.0,0.0,0.0,0.72,0.782,0.8280000000000001,0.736,0.0,0.2,0.0,0.02,315799,0.004,0.0,0.003,0.0,0.007
5,0.07200000000000001,0,858000.0,1960000.0,0.0,0.99,0.0,0.0,0.97,0.9440000000000001,0.0,0.9430000000000001,100.0,71000.0,167.55160819145564,125.66370614359172,0.0,0.0,0.0,0.8200000000000001,0.885,0.937,0.84,0.0,0.2,0.0,0.02,315800,0.005,0.0,0.004,0.0,0.009300000000000001
6,0.07200000000000001,0,858000.0,1960000.0,0.0,0.99,0.0,0.0,0.97,0.9440000000000001,0.0,0.9430000000000001,100.0,112000.0,167.55160819145564,125.66370614359172,0.0,0.0,0.0,0.8200000000000001,0.885,0.937,0.84,0.0,0.2,0.0,0.02,315800_B,0.005,0.0,0.004,0.0,0.009300000000000001
7,0.045,0,418000.0,900000.0,0.0,0.65,0.0,0.0,0.637,0.623,0.0,0.615,29.5,62000.0,356.0471674068432,230.3834612632515,0.0,0.0,0.0,0.53,0.5760000000000001,0.61,0.543,0.0,0.2,0.0,0.03,315835_A,0.003,0.0,0.0025,0.0,0.0043
8,0.045,0,418000.0,900000.0,0.0,0.65,0.0,0.0,0.637,0.623,0.0,0.615,29.5,62000.0,356.0471674068432,230.3834612632515,0.0,0.0,0.0,0.53,0.5760000000000001,0.61,0.543,0.0,0.2,0.0,0.03,315835_B,0.003,0.0,0.0025,0.0,0.0043
9,0.056,0,605000.0,1290000.0,0.0,0.79,0.0,0.0,0.774,0.752,0.0,0.747,56.0,83000.0,230.3834612632515,178.0235837034216,0.0,0.0,0.0,0.64,0.6960000000000001,0.74,0.656,0.0,0.2,0.0,0.03,315837,0.004,0.0,0.003,0.0,0.006
10,0.09,0,1340000.0,3100000.0,0.0,1.1500000000000001,0.0,0.0,1.1300000000000001,1.103,0.0,1.097,170.0,190000.0,136.1356816555577,104.71975511965977,0.6,0.0,0.0,0.9500000000000001,1.024,1.088,0.97,0.0,0.2,0.0,0.0,315869_A,0.005,0.0,0.004,0.0,0.0135
11,0.09,0,792000.0,1560000.0,0.0,1.1500000000000001,0.0,0.0,1.1300000000000001,1.103,0.0,1.097,157.0,95000.0,0.0,0.0,0.6,0.0,0.0,0.9500000000000001,1.024,1.088,0.97,0.0,0.2,0.0,0.0,315869_C,0.005,0.0,0.004,0.0,0.0135
12,0.106,0,1720000.0,4150000.0,0.0,1.5,0.0,0.0,1.473,1.438,0.0,1.43,332.0,240000.0,29.321531433504735,23.038346126325152,0.6,0.0,0.0,1.25,1.347,1.422,1.276,0.0,0.2,0.0,0.0,315913,0.006,0.0,0.005,0.0,0.0154
13,0.056,0,605000.0,1290000.0,0.0,0.78,0.0,0.0,0.765,0.741,0.0,0.737,55.0,85000.0,272.2713633111154,178.0235837034216,0.0,0.0,0.0,0.63,0.6880000000000001,0.73,0.645,0.0,0.2,0.0,0.03,315933,0.004,0.0,0.003,0.0,0.0056
14,0.04,0,270000.0,520000.0,0.0,0.48,0.0,0.0,0.468,0.454,0.0,0.451,15.5,42500.0,136.1356816555577,136.1356816555577,0.0,0.0,0.0,0.38,0.419,0.446,0.392,0.0,0.2,0.0,0.03,316010_A,0.0021000000000000003,0.0,0.002,0.0,0.0057
15,0.04,0,292000.0,610000.0,0.0,0.54,0.0,0.0,0.53,0.512,0.0,0.511,18.5,39000.0,157.07963267948966,115.19173063162575,0.0,0.0,0.0,0.44,0.47900000000000004,0.506,0.45,0.0,0.2,0.0,0.03,316011,0.0021000000000000003,0.0,0.002,0.0,0.0053
16,0.056,0,616000.0,1370000.0,0.0,0.8200000000000001,0.0,0.0,0.806,0.781,0.0,0.777,57.0,83000.0,230.3834612632515,167.55160819145564,0.0,0.0,0.0,0.67,0.728,0.77,0.684,0.0,0.2,0.0,0.02,316012,0.003,0.0,0.0025,0.0,0.0075
17,0.045,0,429000.0,950000.0,0.0,0.68,0.0,0.0,0.667,0.647,0.0,0.645,31.5,62000.0,335.1032163829113,209.43951023931953,0.0,0.0,0.0,0.56,0.606,0.639,0.5730000000000001,0.0,0.2,0.0,0.02,316053,0.003,0.0,0.0025,0.0,0.0058
18,0.045,0,396000.0,830000.0,0.0,0.62,0.0,0.0,0.608,0.585,0.0,0.584,29.0,45500.0,104.71975511965977,104.71975511965977,0.0,0.0,0.0,0.5,0.545,0.579,0.512,0.0,0.2,0.0,0.03,316198,0.0021000000000000003,0.0,0.002,0.0,0.005200000000000001
19,0.074,0,935000.0,2120000.0,0.0,1.03,0.0,0.0,1.012,0.996,0.0,0.978,115.0,122000.0,167.55160819145564,125.66370614359172,0.0,0.0,0.0,0.85,0.917,0.978,0.868,0.0,0.2,0.0,0.02,316200,0.005,0.0,0.004,0.0,0.0075
