,D,Fdn,Fndyn,Gew,L0,Lndyn,Mat,PG,R,S,d,n,name,prices,shdyn
0,0.0013,Rattachés,4.078,0.0304,0.004200000000000001,0.00398,EN 10270-3-1.4310,E,18538.0,0.0005819999999999999,0.0004,5.5,vd-063h-02,"{1: 2.68, 450: 0.16, 37: 0.52, 17: 0.83, 7: 1.64, 250: 0.24, 75: 0.36, 125: 0.31, 350: 0.22, 175: 0.27}",0.00022
1,0.0032,Rattachés,5.63,0.1049,0.0128,0.0058,EN 10270-3-1.4310,E,804.0,0.001388,0.0004,8.5,vd-055a,"{1: 2.68, 450: 0.16, 37: 0.52, 17: 0.83, 7: 1.64, 250: 0.24, 75: 0.36, 125: 0.31, 350: 0.22, 175: 0.27}",0.00252
2,0.063,Rattachés et meulés,716.601,1194.835,0.5,0.20751,EN 10270-3-1.4310,AU,2450.0,0.021942,0.0063,22.5,vd-374a,"{1: 14.6, 75: 5.29, 3: 9.09, 37: 5.41, 17: 6.33, 250: 4.86, 7: 7.44, 125: 5.24, 350: 4.66, 175: 5.06}",0.12835
3,0.01,Rattachés et meulés,67.85,4.4188,0.064,0.0299,EN 10270-1,F,1990.0,0.005019999999999999,0.00125,12.5,d-194,"{1: 2.7, 450: 0.19, 37: 0.55, 17: 0.89, 7: 1.73, 250: 0.28, 75: 0.42, 125: 0.34, 350: 0.24, 175: 0.32}",0.01257
4,0.008,Rattachés et meulés,18.1,0.5492,0.0145,0.00545,EN 10270-3-1.4310,G,2000.0,0.003914,0.0008,3.5,vd-123,"{1: 2.74, 450: 0.21, 37: 0.6, 17: 0.93, 7: 1.86, 250: 0.28, 75: 0.46, 125: 0.36, 350: 0.24, 175: 0.32}",0.0038599999999999997
5,0.0215,Rattachés et meulés,114.509,12.58,0.058,0.019600000000000003,EN 10270-1,M,2982.0,0.010182,0.002,5.5,d-239a-14,"{1: 3.02, 450: 0.43, 37: 1.0, 17: 1.28, 7: 2.52, 250: 0.5, 75: 0.86, 125: 0.57, 350: 0.46, 175: 0.54}",0.0178
6,0.0125,Rattachés et meulés,69.315,11.2452,0.0958,0.039259999999999996,EN 10270-3-1.4310,L,1226.0,0.005097000000000001,0.0015,18.5,vd-207j-39,"{1: 2.96, 450: 0.36, 37: 0.93, 17: 1.23, 7: 2.31, 250: 0.43, 75: 0.82, 125: 0.51, 350: 0.4, 175: 0.48}",0.02502
7,0.0056,Rattachés et meulés,26.213,1.0136,0.028,0.01421,EN 10270-1,C,1901.0,0.002176,0.0008,12.5,d-132b,"{1: 2.63, 450: 0.08, 37: 0.43, 17: 0.7, 7: 1.57, 250: 0.13, 75: 0.25, 125: 0.19, 350: 0.1, 175: 0.14}",0.00753
8,0.032,Rattachés et meulés,321.343,35.1506,0.0585,0.024,EN 10270-1,L,9314.0,0.0158,0.0032,3.5,d-294,"{1: 2.96, 450: 0.36, 37: 0.93, 17: 1.23, 7: 2.31, 250: 0.43, 75: 0.82, 125: 0.51, 350: 0.4, 175: 0.48}",0.01297
9,0.08,Rattachés et meulés,877.643,340.6073,0.145,0.047,EN 10270-1,AH,8956.0,0.039629,0.0063,3.5,d-365,"{1: 11.7, 75: 2.07, 3: 5.94, 37: 2.16, 17: 2.61, 250: 1.92, 7: 4.12, 125: 2.01, 350: 1.86, 175: 1.98}",0.037630000000000004
10,0.016,Rattachés et meulés,77.53,16.377,0.165,0.06255,EN 10270-3-1.4310,L,757.0,0.008832000000000001,0.0016,18.5,vd-217,"{1: 2.96, 450: 0.36, 37: 0.93, 17: 1.23, 7: 2.31, 250: 0.43, 75: 0.82, 125: 0.51, 350: 0.4, 175: 0.48}",0.02698
11,0.004,Rattachés et meulés,30.72,0.2746,0.006900000000000001,0.00498,EN 10270-3-1.4310,G,16000.0,0.0017430000000000002,0.0008,3.5,vd-138,"{1: 2.74, 450: 0.21, 37: 0.6, 17: 0.93, 7: 1.86, 250: 0.28, 75: 0.46, 125: 0.36, 350: 0.24, 175: 0.32}",0.00088
12,0.0032,Rattachés et meulés,11.11,0.0858,0.0055,0.00317,EN 10270-3-1.4310,F,4768.0,0.0014290000000000001,0.0005,3.5,vd-081,"{1: 2.7, 450: 0.19, 37: 0.55, 17: 0.89, 7: 1.73, 250: 0.28, 75: 0.42, 125: 0.34, 350: 0.24, 175: 0.32}",0.00074
13,0.04,Rattachés et meulés,2836.024,1023.5617,0.275,0.19453,EN 10270-1,AS,35243.0,0.014432,0.008,18.5,d-414,"{1: 14.1, 75: 4.5, 3: 8.54, 37: 4.58, 17: 5.4, 250: 4.2, 7: 6.78, 125: 4.43, 350: 3.98, 175: 4.28}",0.032310000000000005
14,0.0025,Rattachés,7.487,0.0429,0.0047,0.00313,EN 10270-1,B,4769.0,0.001057,0.0004,3.5,d-059a,"{1: 2.58, 450: 0.06, 37: 0.38, 17: 0.66, 7: 1.54, 250: 0.08, 75: 0.18, 125: 0.14, 350: 0.06, 175: 0.11}",0.0005899999999999999
15,0.055,Rattachés et meulés,870.491,212.3969,0.085,0.040299999999999996,EN 10270-3-1.4310,AK,19474.0,0.02257,0.006,3.5,vd-364r-70,"{1: 12.2, 75: 2.58, 3: 6.39, 37: 2.64, 17: 3.24, 250: 2.4, 7: 4.67, 125: 2.51, 350: 2.32, 175: 2.47}",0.011
16,0.114,Rattachés et meulés,"
",2017.7701,0.25,"
",EN 10270-1,BE,18305.0,0.043455,0.011,5.5,d-472,"{1: 33.1, 75: 20.1, 3: 27.5, 37: 21.0, 17: 22.5, 250: 18.7, 7: 24.6, 125: 20.0, 350: 18.2, 175: 19.3}","
"
17,0.0063,Rattachés et meulés,23.497,1.1403,0.033,0.0154,EN 10270-1,C,1335.0,0.002576,0.0008,12.5,d-131,"{1: 2.63, 450: 0.08, 37: 0.43, 17: 0.7, 7: 1.57, 250: 0.13, 75: 0.25, 125: 0.19, 350: 0.1, 175: 0.14}",0.009810000000000001
18,0.02,Rattachés et meulés,216.048,49.9786,0.175,0.08145000000000001,EN 10270-3-1.4310,N,2309.0,0.009324,0.0025,18.5,vd-278,"{1: 3.1, 37: 1.09, 17: 1.36, 7: 2.6, 250: 0.54, 75: 0.93, 125: 0.65, 350: 0.52, 175: 0.59}",0.02409
19,0.0112,Rattachés et meulés,353.916,29.9704,0.0714,0.05707,EN 10270-3-1.4310,P,24698.0,0.004426,0.0028,15.5,vd-288x,"{1: 3.26, 37: 1.23, 17: 1.58, 7: 2.79, 75: 1.09, 125: 0.85, 175: 0.78}",0.00675
20,0.04,Rattachés et meulés,876.04,758.6254,0.28,0.18847999999999998,EN 10270-3-1.4310,AR,9572.0,0.012164,0.0063,22.5,vd-384a,"{1: 13.8, 75: 4.27, 3: 8.17, 37: 4.34, 17: 5.06, 250: 3.91, 7: 6.45, 125: 4.22, 350: 3.76, 175: 4.11}",0.05786
21,0.001,Rattachés,2.326,0.016,0.0078,0.0051600000000000005,EN 10270-1,C,881.0,0.000395,0.0002,18.5,d-011v,"{1: 2.63, 450: 0.08, 37: 0.43, 17: 0.7, 7: 1.57, 250: 0.13, 75: 0.25, 125: 0.19, 350: 0.1, 175: 0.14}",0.0009
22,0.0358,Rattachés et meulés,87.988,38.8639,0.228,0.04089,EN 10270-3-1.4310,N,470.0,0.023768,0.0022,9.5,vd-263g,"{1: 3.1, 37: 1.09, 17: 1.36, 7: 2.6, 250: 0.54, 75: 0.93, 125: 0.65, 350: 0.52, 175: 0.59}",0.0583
23,0.04,Rattachés et meulés,3102.193,1365.269,0.239,0.20383,EN 10270-3-1.4310,AX,88206.0,0.014773999999999999,0.01,15.5,vd-447,"{1: 15.7, 75: 5.84, 3: 10.0, 37: 5.99, 17: 6.93, 250: 5.48, 7: 8.39, 125: 5.76, 350: 5.18, 175: 5.59}",0.014539999999999999
24,0.054,Rattachés et meulés,2147.043,1492.9217,0.281,0.18972,EN 10270-3-1.4310,BB,23522.0,0.017547999999999998,0.009,15.5,vd-414m,"{1: 24.2, 75: 13.9, 3: 19.3, 37: 14.3, 17: 16.1, 250: 13.0, 7: 17.4, 125: 13.7, 350: 12.2, 175: 13.4}",0.02951
25,0.004,Rattachés et meulés,16.614,0.1703,0.0067,0.004,EN 10270-3-1.4310,F,6154.0,0.001734,0.00063,3.5,vd-106,"{1: 2.7, 450: 0.19, 37: 0.55, 17: 0.89, 7: 1.73, 250: 0.28, 75: 0.42, 125: 0.34, 350: 0.24, 175: 0.32}",0.00101
26,0.0070999999999999995,Rattachés et meulés,5.688,0.1904,0.015,0.00381,EN 10270-1,B,508.0,0.004143,0.0005,3.5,d-063n,"{1: 2.58, 450: 0.06, 37: 0.38, 17: 0.66, 7: 1.54, 250: 0.08, 75: 0.18, 125: 0.14, 350: 0.06, 175: 0.11}",0.00434
27,0.0635,Rattachés et meulés,227.534,137.9373,0.091,0.03417,EN 10270-3-1.4310,AG,4003.9999999999995,0.024714,0.0045,3.5,vd-339j-10,"{1: 11.4, 75: 1.93, 3: 5.61, 37: 2.03, 17: 2.4, 250: 1.79, 7: 3.82, 125: 1.86, 350: 1.73, 175: 1.83}",0.037090000000000005
28,0.0185,Rattachés et meulés,55.485,8.5244,0.08,0.0221,EN 10270-1,G,958.0,0.009236000000000001,0.0015,8.5,d-207j-72,"{1: 2.74, 450: 0.21, 37: 0.6, 17: 0.93, 7: 1.86, 250: 0.28, 75: 0.46, 125: 0.36, 350: 0.24, 175: 0.32}",0.0292
29,0.063,Rattachés et meulés,1085.58,268.2283,0.105,0.0458,EN 10270-1,AG,18338.0,0.0282,0.0063,3.5,d-370,"{1: 11.4, 75: 1.93, 3: 5.61, 37: 2.03, 17: 2.4, 250: 1.79, 7: 3.82, 125: 1.86, 350: 1.73, 175: 1.83}",0.022690000000000002
