,Dw,Lw,rsmin,rsmax
0,0.003,0.003,0.0001,0.0007
1,0.003,0.004,0.0001,0.0007
2,0.003,0.005,0.0001,0.0007
3,0.0035,0.005,0.0001,0.0007
4,0.004,0.004,0.0002,0.0007
5,0.004,0.006,0.0002,0.0007
6,0.004,0.008,0.0002,0.0007
7,0.0045000000000000005,0.0045000000000000005,0.0002,0.0007
8,0.0045000000000000005,0.006,0.0002,0.0007
9,0.005,0.005,0.0002,0.0007
10,0.005,0.008,0.0002,0.0007
11,0.005,0.01,0.0002,0.0007
12,0.0055,0.0055,0.0002,0.0007
13,0.0055,0.008,0.0002,0.0007
14,0.006,0.006,0.0002,0.0007
15,0.006,0.008,0.0002,0.0007
16,0.006,0.009000000000000001,0.0002,0.0007
17,0.006,0.01,0.0002,0.0007
18,0.006,0.012,0.0002,0.0007
19,0.006500000000000001,0.006500000000000001,0.0002,0.0008
20,0.006500000000000001,0.008,0.0002,0.0008
21,0.006500000000000001,0.009000000000000001,0.0002,0.0008
22,0.007,0.007,0.0002,0.0008
23,0.007,0.01,0.0002,0.0008
24,0.007,0.014,0.0002,0.0008
25,0.0075,0.0075,0.0002,0.0008
26,0.0075,0.009000000000000001,0.0002,0.0008
27,0.0075,0.01,0.0002,0.0008
28,0.0075,0.011,0.0002,0.0008
29,0.008,0.008,0.0003,0.0008
30,0.008,0.01,0.0003,0.0008
31,0.008,0.012,0.0003,0.0008
32,0.008,0.014,0.0003,0.0008
33,0.008,0.016,0.0003,0.0008
34,0.008,0.02,0.0003,0.0008
35,0.009000000000000001,0.009000000000000001,0.0003,0.001
36,0.009000000000000001,0.01,0.0003,0.001
37,0.009000000000000001,0.012,0.0003,0.001
38,0.009000000000000001,0.013000000000000001,0.0003,0.001
39,0.009000000000000001,0.014,0.0003,0.001
40,0.01,0.01,0.0003,0.001
41,0.01,0.011,0.0003,0.001
42,0.01,0.014,0.0003,0.001
43,0.01,0.015,0.0003,0.001
44,0.01,0.016,0.0003,0.001
45,0.01,0.017,0.0003,0.001
46,0.01,0.025,0.0003,0.001
47,0.011,0.011,0.0003,0.001
48,0.011,0.012,0.0003,0.001
49,0.011,0.013000000000000001,0.0003,0.001
50,0.011,0.015,0.0003,0.001
51,0.011,0.02,0.0003,0.001
52,0.012,0.012,0.0003,0.001
53,0.012,0.014,0.0003,0.001
54,0.012,0.016,0.0003,0.001
55,0.012,0.017,0.0003,0.001
56,0.012,0.018000000000000002,0.0003,0.001
57,0.012,0.021,0.0003,0.001
58,0.012,0.022,0.0003,0.001
