typ_bearing,name_bearing,D,d,B,Cr,C0r,Cu,Tmax,Tmin,Lw,Le,Dw,Dp,Z,F,E,d1,da_min,Da_max,Dc_max,Db_min,r1a,ra,r1s_min,rs_min,fq_cr,fq_be,fq_bi,fq_ca,vit_max_oil,vit_max_grease,mass,nb_section_stop,nb_groove_be,mounting,brand,name,class,class_radial,class_precision,FNR,material_cage,material_rolling,material_ring,cage,da_max,D1,vit_max_ref,vit_max
RadialRollerBearing,NTN007834,0.055,0.03,0.013000000000000001,19.7,19.6,2.39,120.0,-40.0,0.006,0.0056,0.006,0.0425,16.0,0.0365,0.0485,0.0389,0.035,0.051000000000000004,0.047,0.05,0.0006,0.001,0.0006,0.001,6.942,6.871,9.129,0.429,16000.0,14000.0,0.128,0.0,0,N,NTN,N1006,NTN-004,CN,P0,1311 - NTN CORPORATION,Laiton,Acier 100Cr6,Acier 100Cr6,True,,,,
RadialRollerBearing,NTN007835,0.09,0.055,0.018000000000000002,37.5,44.0,5.4,120.0,-40.0,0.008,0.0070999999999999995,0.008,0.0725,20.0,0.0645,0.0805,0.06770000000000001,0.0615,0.085,0.079,0.082,0.001,0.001,0.001,0.0011,8.952,8.897,11.103,0.445,9700.0,8200.0,0.409,0.0,0,N,NTN,N1011G1C4,NTN-004,C4,P0,1311 - NTN CORPORATION,Laiton,Acier 100Cr6,Acier 100Cr6,True,,,,
RadialRollerBearing,NTN007836,0.095,0.06,0.018000000000000002,40.0,48.5,5.9,120.0,-40.0,0.008,0.007,0.008,0.0775,22.0,0.0695,0.0855,0.0727,0.0665,0.09,0.084,0.08700000000000001,0.001,0.001,0.001,0.0011,9.584,9.865,12.135,0.448,8800.0,7500.0,0.439,0.0,0,N,NTN,N1012G1C2P6,NTN-004,C2,P6,1311 - NTN CORPORATION,Laiton,Acier 100Cr6,Acier 100Cr6,True,,,,
RadialRollerBearing,NTN007837,0.125,0.08,0.022,72.5,90.5,11.0,120.0,-40.0,,,,,,0.0915,0.1135,0.09590000000000001,0.08650000000000001,0.12,0.111,0.115,0.001,0.001,0.001,0.0011,,,,,6700.0,5700.0,0.913,0.0,0,N,NTN,N1016G1C2P6,NTN-004,C2,P6,1311 - NTN CORPORATION,Laiton,Acier 100Cr6,Acier 100Cr6,True,,,,
RadialRollerBearing,NTN007838,0.125,0.08,0.022,72.5,90.5,11.0,120.0,-40.0,,,,,,0.0915,0.1135,0.09590000000000001,0.08650000000000001,0.12,0.111,0.115,0.001,0.001,0.001,0.0011,,,,,6700.0,5700.0,0.913,0.0,0,N,NTN,N1016G1C4,NTN-004,C4,P0,1311 - NTN CORPORATION,Laiton,Acier 100Cr6,Acier 100Cr6,True,,,,
RadialRollerBearing,NTN007839,0.14,0.09,0.024,88.0,114.0,13.3,120.0,-40.0,,,,,,0.10300000000000001,0.127,0.10779999999999999,0.098,0.1335,0.124,0.129,0.001,0.0015,0.0011,0.0015,,,,,5900.0,5100.0,2.94,0.0,0,N,NTN,N1018,NTN-004,CN,P0,1311 - NTN CORPORATION,Laiton,Acier 100Cr6,Acier 100Cr6,True,,,,
RadialRollerBearing,NTN007840,0.14,0.09,0.024,90.0,90.0,10.5,120.0,-40.0,,,,,,0.10300000000000001,0.127,0.10779999999999999,0.098,0.1335,0.124,0.129,0.001,0.0015,0.0011,0.0015,,,,,5900.0,5100.0,1.327,0.0,0,N,NTN,N1018C2NAP5,NTN-004,C2,P5,1311 - NTN CORPORATION,Laiton,Acier 100Cr6,Acier 100Cr6,True,,,,
RadialRollerBearing,NTN007841,0.68,0.46,0.1,1540.0,2630.0,190.0,120.0,-40.0,,,,,,0.516,0.624,0.5376000000000001,0.484,0.656,0.62,0.628,0.005,0.005,0.006,0.006,,,,,1000.0,850.0,120.0,0.0,0,N,NTN,N1092,NTN-004,CN,P0,1311 - NTN CORPORATION,Laiton,Acier 100Cr6,Acier 100Cr6,True,,,,
RadialRollerBearing,NTN007842,0.047,0.02,0.014,25.7,22.6,2.75,120.0,-20.0,0.009000000000000001,0.008,0.0075,0.034,11.0,0.0265,0.0415,0.029500000000000002,0.025,0.043000000000000003,0.039,0.042,0.0006,0.001,0.0006,0.001,4.313,4.287,6.713,0.39,18000.0,15000.0,0.11,0.0,0,N,NTN,N204ET2X,NTN-004,CN,P0,1311 - NTN CORPORATION,Polyamide PA4-6,Acier 100Cr6,Acier 100Cr6,True,,,,
RadialRollerBearing,NTN007843,0.052000000000000005,0.025,0.015,29.3,27.7,3.4,120.0,-20.0,0.009000000000000001,0.008,0.0075,0.039,13.0,0.0315,0.0465,0.0345,0.03,0.048,0.044,0.047,0.0006,0.001,0.0006,0.001,5.008,5.25,7.75,0.404,15000.0,13000.0,0.14,0.0,0,N,NTN,N205ET2X,NTN-004,CN,P0,1311 - NTN CORPORATION,Polyamide PA4-6,Acier 100Cr6,Acier 100Cr6,True,,,,
