,d,D,B,rsmin,serie
0,0.001,0.004,0.0,0.0,09
1,0.001,0.004,0.0016,0.0001,19
2,0.001,0.004,0.0,0.0001,29
3,0.001,0.004,0.0023,0.0001,39
4,0.001,0.004,0.0,0.0,49
5,0.001,0.004,0.0,0.0,59
6,0.001,0.004,0.0,0.0,69
7,0.0015,0.005,0.0,0.0,09
8,0.0015,0.005,0.002,0.00015,19
9,0.0015,0.005,0.0,0.00015,29
10,0.0015,0.005,0.0026000000000000003,0.00015,39
11,0.0015,0.005,0.0,0.0,49
12,0.0015,0.005,0.0,0.0,59
13,0.0015,0.005,0.0,0.0,69
14,0.002,0.006,0.0,0.0,09
15,0.002,0.006,0.0023,0.00015,19
16,0.002,0.006,0.0,0.00015,29
17,0.002,0.006,0.003,0.00015,39
18,0.002,0.006,0.0,0.0,49
19,0.002,0.006,0.0,0.0,59
20,0.002,0.006,0.0,0.0,69
21,0.0025,0.007,0.0,0.0,09
22,0.0025,0.007,0.0025,0.00015,19
23,0.0025,0.007,0.0,0.00015,29
24,0.0025,0.007,0.0035,0.00015,39
25,0.0025,0.007,0.0,0.0,49
26,0.0025,0.007,0.0,0.0,59
27,0.0025,0.007,0.0,0.0,69
28,0.003,0.008,0.0,0.0,09
29,0.003,0.008,0.003,0.00015,19
30,0.003,0.008,0.0,0.00015,29
31,0.003,0.008,0.004,0.00015,39
32,0.003,0.008,0.0,0.0,49
33,0.003,0.008,0.0,0.0,59
34,0.003,0.008,0.0,0.0,69
35,0.004,0.011,0.0,0.0,09
36,0.004,0.011,0.004,0.00015,19
37,0.004,0.011,0.0,0.00015,29
38,0.004,0.011,0.005,0.00015,39
39,0.004,0.011,0.0,0.0,49
40,0.004,0.011,0.0,0.0,59
41,0.004,0.011,0.0,0.0,69
42,0.005,0.013000000000000001,0.0,0.0,09
43,0.005,0.013000000000000001,0.004,0.0002,19
44,0.005,0.013000000000000001,0.0,0.0002,29
45,0.005,0.013000000000000001,0.006,0.0002,39
46,0.005,0.013000000000000001,0.01,0.00015,49
47,0.005,0.013000000000000001,0.0,0.00015,59
48,0.005,0.013000000000000001,0.0,0.00015,69
49,0.006,0.015,0.0,0.0,09
50,0.006,0.015,0.005,0.0002,19
51,0.006,0.015,0.0,0.0002,29
52,0.006,0.015,0.007,0.0002,39
53,0.006,0.015,0.01,0.00015,49
54,0.006,0.015,0.0,0.00015,59
55,0.006,0.015,0.0,0.00015,69
56,0.007,0.017,0.0,0.0,09
57,0.007,0.017,0.005,0.0003,19
58,0.007,0.017,0.0,0.0003,29
59,0.007,0.017,0.007,0.0003,39
