% # columns="iteration, evaluation, sigma, void, void,  stds==sigma*sqrt(diag(C))", seed=198947, Wed Jul 29 18:23:24 2020, <python>{}</python>
1 10 0.09431253939528285 0 0 0.09107306151329089 0.09575980810039295 0.09086688025118148 0.09522209704601511 0.09169375158530287 0.09416129070906647 0.0945710263889666 0.09482237971416732 0.09430520431032784
2 20 0.09276197318463061 0 0 0.08643448196785092 0.09499032717745062 0.08705375439345159 0.09175280028592292 0.09229634385892418 0.09153048241996818 0.09112487127376698 0.09394721804421627 0.09316258484828258
3 30 0.0936270317785339 0 0 0.0910087805135708 0.09526660604048749 0.08680391373125237 0.0908349510954653 0.09142547576698504 0.09746883587017979 0.08821894152948886 0.0951560953432032 0.09349208057697302
4 40 0.09683143786255739 0 0 0.09084853342020982 0.09950203216566987 0.08838612245544603 0.09384410078024277 0.09707258598044712 0.10287823912027694 0.09083247256557617 0.10035116762868601 0.09703497008192219
5 50 0.09736041324335161 0 0 0.08844520142389896 0.10159969422082132 0.09109263951952898 0.0933191946632398 0.09816046818560116 0.1025135155742662 0.08828292962199245 0.10060305853895318 0.09543457560943183
6 60 0.10245464475751678 0 0 0.08982805178883746 0.10754054216252426 0.09959632199865244 0.09830846077824244 0.10283093123192628 0.11364912295524827 0.0915782343631568 0.1025630012277132 0.09793431906411815
7 70 0.10552913727459685 0 0 0.08842982466662852 0.10934514496897282 0.10327915043538456 0.10038538074710081 0.10419618887042009 0.11763357765327986 0.09729786256190238 0.10640475486478893 0.10019042221389043
8 80 0.10406221046749882 0 0 0.08361444013222764 0.10486808816677794 0.09961927169849154 0.09957332988580633 0.10514728962697438 0.11764352928590989 0.09552139350671046 0.10393658159707395 0.09840678600492245
9 90 0.10902043570963954 0 0 0.08460158874283656 0.1078960844836625 0.1096574747601139 0.10331765455221265 0.11349521151943494 0.1225962039464866 0.09942844114346404 0.11077422729928792 0.10544210625936785
10 100 0.10527323949825224 0 0 0.0789376782074588 0.10357878610979399 0.10852981365091328 0.09799981713351448 0.10748926565648606 0.11874044869327613 0.09485513623038254 0.10572924629957695 0.10275730564382417
11 110 0.1011065509808553 0 0 0.07294725254266915 0.09930024126973674 0.10489659350031463 0.09268520117007951 0.1023530773531385 0.11337772467980256 0.0898909525218934 0.09592374185727062 0.09716259016818597
12 120 0.08758611124373665 0 0 0.05903873789127388 0.08541394102083841 0.08912871019001994 0.08034121279106882 0.09030543640249304 0.0969927462846881 0.07425692389210896 0.0826252222116243 0.08356305197384771
13 130 0.07878544879265338 0 0 0.053383688276760974 0.07031094101564726 0.08229320666954348 0.07173038384802657 0.08161347663115556 0.08739017393787084 0.06485293933956937 0.07391204387286548 0.07550192862312333
14 140 0.07435072980120402 0 0 0.04498857521094777 0.06722151760619133 0.07636442710489978 0.06697972976214184 0.07847160814306174 0.08157399773735108 0.06407044121548246 0.06964867665899305 0.071105120061084
15 150 0.07032106468464369 0 0 0.0400082375559125 0.06330146527741437 0.07303355771888811 0.06344822165046653 0.07268486814716948 0.07739269992372899 0.0609960128019674 0.06542127975870353 0.0657631171093638
16 160 0.06787691833506873 0 0 0.036250004674352694 0.061818624430521274 0.07068028359151206 0.06102652397006163 0.06947661187275564 0.0747024638253471 0.061256291243506435 0.061548775486979145 0.06173441184084674
17 170 0.06183973218268347 0 0 0.03216748949849303 0.05600570013521581 0.0639860874717662 0.054697774923416764 0.06395966871652087 0.06897476584900686 0.056374348752598315 0.05373785947071612 0.05647231196995067
18 180 0.05930336657211351 0 0 0.029972233669897937 0.052813201994025706 0.06243488437839933 0.05274984421213242 0.06045385637742482 0.06884549561109096 0.054166201350684985 0.05126150609243493 0.05346878272441729
19 190 0.053613451318380856 0 0 0.025936956644549442 0.045013479407358475 0.05613827541923952 0.047279943185163556 0.05402734110704447 0.062158183711380835 0.04902912338591797 0.04657817501626547 0.04691917616559256
20 200 0.049303281487000875 0 0 0.023434395000370048 0.04019105867702314 0.050999655516607456 0.04443841598394213 0.04745792435836235 0.056327433593299336 0.045240046175295305 0.04276395592078322 0.04297204771638208
21 210 0.047660844476299175 0 0 0.022212724848424296 0.037666946078398406 0.04765537295358046 0.043521104045307665 0.047368115109814896 0.056311374885205046 0.04230421494528081 0.04064768377514164 0.04181116245985803
22 220 0.04516189101492847 0 0 0.020572039243498094 0.03329920747549523 0.04485644554775274 0.04179170936952081 0.045554184615244575 0.0527623840698859 0.039684329811221254 0.03597777988003364 0.03973663579052722
23 230 0.038688718267303766 0 0 0.01661300582382154 0.02839592781188606 0.038669389506280315 0.03438766418362544 0.038206836097931296 0.04545711641125768 0.03381069080610162 0.03098389301273956 0.034372146499591714
24 240 0.03900585914624003 0 0 0.016195940797570568 0.027831344772987727 0.0406161763809075 0.03354344719678634 0.039002410776040296 0.04525539725663014 0.03360219522274514 0.032108761417706286 0.033937987566348776
25 250 0.03917585314107652 0 0 0.01553687908036529 0.027299783562121645 0.04111353765650337 0.03406922723277253 0.039159431861165425 0.044271389370756274 0.033184136167578336 0.03387481299735507 0.033809030834048855
26 260 0.040072884518050356 0 0 0.01531104069115765 0.027789129093968683 0.041032666275765246 0.034717961529235446 0.04040074430866066 0.04529426900313748 0.03526596542740717 0.03661585076520565 0.03439747061850429
27 270 0.03878348343821881 0 0 0.014207321620423262 0.02638832266489513 0.040874019643221515 0.03294760455296793 0.039076352610487315 0.04388075710307881 0.03476190640095912 0.0348815945102693 0.03286173943270277
28 280 0.03647543150817035 0 0 0.01262344036267083 0.024280615189789512 0.03774989114912987 0.031167614523611838 0.036631232974426685 0.03984548580952534 0.03272237778799351 0.032734277965261696 0.03209112264906806
29 290 0.033609962325085965 0 0 0.011275397490910978 0.022633736558593784 0.03500899450271165 0.028039314917062574 0.03355075216180004 0.03721760279124495 0.029994838835441122 0.030093475485691024 0.029601889068259876
30 300 0.03125585486417473 0 0 0.010234259715093353 0.02048679306028416 0.03250158094880162 0.02572155681383959 0.030938833721902734 0.03349510843222487 0.027604294732834454 0.027819719047247376 0.028170543397954734
31 310 0.030092818755999885 0 0 0.009323843658381676 0.018957231025283412 0.030853468545554093 0.024682518084017575 0.03161450842580155 0.03279968759102593 0.025852495111929573 0.027257903633256794 0.02709907767301809
32 320 0.028263627879585466 0 0 0.008541021865990338 0.01757499383695092 0.027863914725173827 0.02321615531316075 0.030105044980451183 0.031198349833627216 0.023998411577932924 0.025746093564236593 0.02545159186794446
33 330 0.026763668037413528 0 0 0.007949943999478322 0.016115123499667015 0.026017036487300242 0.021917621623988585 0.0283090972034743 0.029493419219778837 0.02258856745915883 0.025718187258470256 0.024032486402869705
34 340 0.02412216075851139 0 0 0.006980669023703737 0.013376165039887518 0.02324539382728774 0.01923114680149497 0.025690281018045644 0.02648848418328725 0.020546049805553728 0.023467970773574286 0.021151595039925027
35 350 0.022376589471922316 0 0 0.006311359413047539 0.012012540493994547 0.021759440313389753 0.017753270221581047 0.023242511433400136 0.024231497836779182 0.019237512291066405 0.02227471586276282 0.019337472583074392
36 360 0.021885755319670026 0 0 0.00571029368583011 0.011577526958177948 0.022019517567171343 0.01697173690572143 0.022575545203231306 0.023819436853992817 0.01952286329206794 0.021952552523498783 0.019057079449863158
37 370 0.020439579300082472 0 0 0.004943784356326864 0.010377737758793434 0.020550337346598346 0.015703734294238166 0.021866091623638992 0.022139766617878698 0.01783818675544846 0.020717097056457613 0.017478562862283536
38 380 0.019177774709843286 0 0 0.004478233941826458 0.009642509256069253 0.01933766588516286 0.015004690783954824 0.019588726841569922 0.020886542528088678 0.0166469681546709 0.01961374902572234 0.01628428635143236
39 390 0.017986039327616752 0 0 0.0038780666870544306 0.00887623257159857 0.01785694045834568 0.014107531109197604 0.0182078276290167 0.020092227095404997 0.015775885770286557 0.018996253921655826 0.015232367344355848
40 400 0.016792574210953468 0 0 0.003497356386505117 0.007978927258728927 0.01685000042571432 0.013149032752396293 0.01698563114511554 0.01935840575931649 0.014585018246703886 0.0173605923784513 0.014241172546906055
41 410 0.014714396287461748 0 0 0.003009571873138115 0.00687224569691806 0.014677214628901562 0.011443445326692607 0.014529884369470206 0.01674022101155935 0.012964070792693827 0.01529097271643386 0.012361098849698026
42 420 0.013435058158547114 0 0 0.0026359956869673436 0.006211126527907888 0.013342426772100046 0.010479435173601814 0.013349931727104617 0.0150654650486512 0.011693766493775952 0.013864121272738793 0.011193888765377778
43 430 0.012270724404743335 0 0 0.0023496874800129023 0.005634627903441848 0.012412898695713501 0.009635753824557555 0.012354624346137403 0.013646400643900375 0.010482191779655725 0.012412543014774286 0.009858959779001638
44 440 0.011353055927745005 0 0 0.002107461706534673 0.0051107449326672875 0.01152708956982107 0.008846121365562115 0.011357392535915244 0.012590742849743115 0.009713972480382896 0.011396726037084063 0.008936211176739458
45 450 0.010264868865550865 0 0 0.001804845476684545 0.004431758589749364 0.010271995848099959 0.008159622799030845 0.0103184881813972 0.011206643603472101 0.008771162548922434 0.010402858350405799 0.008077272326701457
