% # columns="iteration, evaluation, sigma, void, void,  stds==sigma*sqrt(diag(C))", seed=855161, Tue Oct 27 15:45:36 2020, <python>{}</python>
1 10 0.8900453075788576 0 0 0.861409722264036 0.8416971111248999 0.910432712562384 0.9044968041690999 0.870537831687086 0.8809870491570454 0.8830853992309157 0.9003677051537982 0.8810618048269393
2 20 0.7869508912356153 0 0 0.7208549451134431 0.7361809587382413 0.798754180481418 0.7998808908500562 0.7585232663932066 0.777157291847782 0.7878397064253666 0.7798629785227549 0.779108286197275
3 30 0.7090412634924298 0 0 0.6189220320188528 0.6510034543012387 0.7116863752154249 0.7206829172184818 0.7099045745124217 0.6962908529263767 0.696813028964713 0.6987227349722296 0.7018305487991859
4 40 0.6658934435397352 0 0 0.5672129690631187 0.6101703897553925 0.687328980716247 0.6576450964586043 0.6710084973912934 0.6664886552331585 0.6282326341069085 0.6392218428790811 0.6597261888723087
5 50 0.648854797466165 0 0 0.5089267157165194 0.5912209720152848 0.6807585459042546 0.6418533656877331 0.6481111626655912 0.6485929774047339 0.6020730152224351 0.6423708977128856 0.6502664912769258
6 60 0.6471609157846813 0 0 0.48508773651434706 0.5779355440310209 0.7037539299127932 0.6305300048700816 0.6577840258689975 0.6442590400523213 0.5945720816297634 0.6430424872522579 0.6556639437212326
7 70 0.6404659479137192 0 0 0.45817582536994744 0.5620507733706868 0.6866009858122883 0.6318982805440087 0.6507511188514646 0.645550019942546 0.5908241848335506 0.6410534909466361 0.6617667256952681
8 80 0.605565333144374 0 0 0.3935596076626632 0.5279111927062887 0.6528798378671363 0.598180010727085 0.622009855662769 0.61688385219203 0.572221556589251 0.6013571713136765 0.6281162741985402
9 90 0.5427971953974117 0 0 0.33342927494909164 0.45099346112306715 0.5826820254016136 0.5350810969248458 0.5471772003570996 0.5457133612356471 0.5222504630542126 0.5321942350216596 0.568568100760063
10 100 0.4688990827715746 0 0 0.2838183819727136 0.37367555640774686 0.4963519442285152 0.4637442631713723 0.4681722952463073 0.46716763673393374 0.4520605804288549 0.4603531986820219 0.48424730206580807
11 110 0.4184593326000054 0 0 0.24801111525656236 0.330193539976229 0.43959688023592375 0.40913390071566774 0.40499303626956923 0.4090017116018522 0.4038652014516974 0.4030103221405947 0.439258460458316
12 120 0.399084993683278 0 0 0.2283834911841189 0.30316117635862083 0.42338963173188626 0.3924526251293121 0.38343563103677947 0.3890935127791825 0.37652998505717605 0.37517919257658605 0.43221785208892977
13 130 0.37968154716100255 0 0 0.20619762690251422 0.28554102337965626 0.4050174536296715 0.3729900659577834 0.3697719292948688 0.3653930908772803 0.3503356962925295 0.36051417342685355 0.4160772304069384
14 140 0.3772912352528233 0 0 0.20028055797855226 0.27959891866810244 0.40076875932440603 0.3745017601132061 0.3532094823735911 0.36110841346646 0.3409911985004335 0.380835577474442 0.4135607216570898
15 150 0.34911404378955163 0 0 0.1755513406581476 0.2549985094226578 0.3748503274933594 0.3359078316165117 0.33078103270601755 0.34190148184802643 0.3119202504593084 0.34661690958511576 0.3883471289036222
16 160 0.3364067031196548 0 0 0.1556457042409376 0.24441043450190025 0.37323628239375806 0.3310986002440641 0.31099615824291643 0.33112632243215173 0.30524476687617996 0.33726067165066204 0.37038957474640316
17 170 0.3288030120730001 0 0 0.1507467881879392 0.21714661976410485 0.3726242847826953 0.314595339371345 0.30501815728869797 0.33130311408577473 0.2981957012934439 0.3211708229484969 0.3613838155552547
18 180 0.32568727749272264 0 0 0.14070586402207416 0.21337929512882187 0.36239905062054384 0.32246426723717847 0.2973537112650497 0.3343378508425509 0.29236140239782693 0.32478682756361293 0.3584967560103882
19 190 0.3234887895654547 0 0 0.1366482727325114 0.21171222672547368 0.34987162503759495 0.32617232356809855 0.2977858401860137 0.33192186856465294 0.27909050529343926 0.3165609683466668 0.3868240889575764
20 200 0.30964559774721523 0 0 0.12447401880848613 0.19236496705113287 0.33217861611336996 0.3074673772868277 0.28403327269466266 0.3160063172009518 0.2643320082556071 0.3045739769923554 0.37931764304311616
21 210 0.29290282145585256 0 0 0.1146021501153057 0.18058243112017863 0.303914111867937 0.2903102600204631 0.2580337533163811 0.3015606118462775 0.25490631362545896 0.2883961039186435 0.37286664234899203
22 220 0.292200648283816 0 0 0.10999915138591908 0.17467390779682185 0.3046676343921554 0.2865773745241041 0.2584972968912076 0.29976960910705214 0.2743220171363412 0.2879077747911246 0.3864996693127104
23 230 0.29464896001565183 0 0 0.10577894236059435 0.1750674580332432 0.29528640442581766 0.28271065291890607 0.2507466794629234 0.3081291934213455 0.2895249794456974 0.2899800139581809 0.38769039420335766
24 240 0.2720112156372615 0 0 0.09314816851588807 0.15637134961831883 0.26600331413596445 0.2662627114306377 0.22967433360916573 0.2818273257968089 0.26197475219682936 0.27723087430292914 0.35695209474212086
